scenario,cycle,input_valid,input_word_hex,actual_commit_ack,expected_commit_ack,actual_active_version,expected_active_version,actual_map_valid,expected_map_valid,actual_map_address,expected_map_address,actual_map_llr_twos,expected_map_llr_twos,actual_output_word_hex,expected_output_word_hex,actual_state_word_hex,expected_state_word_hex,exact
fault_and_commit,64,True,1051f0000080253,False,False,1,1,True,True,57,57,48816,48816,3eb5800d86000100000fc010101811,3eb5800d86000100000fc010101811,807d000000000000000000000000000000000000f0000000c04063f000,807d000000000000000000000000000000000000f0000000c04063f000,True
fault_and_commit,65,True,3d893000088429c,False,False,1,1,True,True,75,75,18062,18062,31a340beb0000100000fc010101811,31a340beb0000100000fc010101811,c862000000000000000000000000000000000000f4000000c04063f000,c862000000000000000000000000000000000000f4000000c04063f000,True
fault_and_commit,66,True,eb00010802e5,False,False,1,1,True,True,94,94,71559,71559,209040468e000100000fc010101811,209040468e000100000fc010101811,1043000000000000000000000000000000000000f8000000c04063f000,1043000000000000000000000000000000000000f8000000c04063f000,True
fault_and_commit,67,True,6ea7000188432e,False,False,1,1,True,True,112,112,32662,32662,0c5fc11787000100000fc010101811,0c5fc11787000100000fc010101811,585c000000000000000000000000000000000000fc000000c04063f000,585c000000000000000000000000000000000000fc000000c04063f000,True
fault_and_commit,68,True,2db7f0002080377,False,False,1,1,True,True,130,130,65556,65556,35e3807f96000100000fc010101811,35e3807f96000100000fc010101811,731600000000000000000000000000000000000100000000c04063f000,731600000000000000000000000000000000000100000000c04063f000,True
fault_and_commit,69,True,1258b00028843c0,False,False,1,1,True,True,148,148,46702,46702,22bc810014000100000fc010101811,22bc810014000100000fc010101811,3b0900000000000000000000000000000000000104000000c04063f000,3b0900000000000000000000000000000000000104000000c04063f000,True
fault_and_commit,70,True,2a80b0003080009,False,False,1,1,True,True,167,167,42747,42747,0c6c40b66e000100000fc010101811,0c6c40b66e000100000fc010101811,e32800000000000000000000000000000000000108000000c04063f000,e32800000000000000000000000000000000000108000000c04063f000,True
fault_and_commit,71,True,355930003884052,False,False,1,1,True,True,185,185,40516,40516,2842c0a6fb000100000fc010101811,2842c0a6fb000100000fc010101811,ab370000000000000000000000000000000000010c000000c04063f000,ab370000000000000000000000000000000000010c000000c04063f000,True
fault_and_commit,72,True,1a9db000408009b,False,False,1,1,True,True,203,203,19934,19934,3ffe409e44000100000fc010101811,3ffe409e44000100000fc010101811,434b00000000000000000000000000000000000110000000c04063f000,434b00000000000000000000000000000000000110000000c04063f000,True
fault_and_commit,73,True,9ae700048840e4,False,False,1,1,True,True,221,221,25938,25938,001d404dde000100000fc010101811,001d404dde000100000fc010101811,0b5400000000000000000000000000000000000114000000c04063f000,0b5400000000000000000000000000000000000114000000c04063f000,True
fault_and_commit,74,True,2056b000508012d,False,False,1,1,True,True,240,240,4191426,4191426,3040406552000100000fc010101811,3040406552000100000fc010101811,7dbd00000000000000000000000000000000000118000000804023f000,7dbd00000000000000000000000000000000000118000000804023f000,True
fault_and_commit,75,True,3f8f30005884176,False,False,1,1,True,True,2,2,4182966,4182966,3e0e7ff4c2000100000fc000100d11,3e0e7ff4c2000100000fc000100d11,13470000000000000000000000000000000000011c000000800003f000,13470000000000000000000000000000000000011c000000800003f000,True
fault_and_commit,76,True,277bb00060801bf,False,False,1,1,True,True,20,20,25691,25691,243fbfd3b6000100000fc000000291,243fbfd3b6000100000fc000000291,9b8100000000000000000000000000000000000120000000800003f000,9b8100000000000000000000000000000000000120000000800003f000,True
fault_and_commit,77,True,232070006884208,False,False,1,1,True,True,38,38,3262,3262,207c80645b000100000fc000000011,207c80645b000100000fc000000011,d39e00000000000000000000000000000000000124000000800003f000,d39e00000000000000000000000000000000000124000000800003f000,True
fault_and_commit,78,True,13e5f0007080251,False,False,1,1,True,True,57,57,48503,48503,122c000cbe000100000fc000000011,122c000cbe000100000fc000000011,0bbf00000000000000000000000000000000000128000000800003f000,0bbf00000000000000000000000000000000000128000000800003f000,True
fault_and_commit,79,True,3f957000788429a,False,False,1,1,True,True,75,75,17862,17862,377a80bd77000100000fc000000011,377a80bd77000100000fc000000011,43a00000000000000000000000000000000000012c000000800003f000,43a00000000000000000000000000000000000012c000000800003f000,True
fault_and_commit,80,True,4d2b00080802e3,False,False,1,1,True,True,93,93,71256,71256,23934045c6000100000fc000000011,23934045c6000100000fc000000011,abdc00000000000000000000000000000000000130000000800003f000,abdc00000000000000000000000000000000000130000000800003f000,True
fault_and_commit,81,True,39e3000888432c,False,False,1,1,True,True,111,111,32462,32462,29ae011658000100000fc000000011,29ae011658000100000fc000000011,e3c300000000000000000000000000000000000134000000800003f000,e3c300000000000000000000000000000000000134000000800003f000,True
fault_and_commit,82,True,335bb0009080375,False,False,1,1,True,True,130,130,65868,65868,3fa0c07ece000100000fc000000011,3fa0c07ece000100000fc000000011,3be200000000000000000000000000000000000138000000800003f000,3be200000000000000000000000000000000000138000000800003f000,True
fault_and_commit,83,True,1f2b300098843be,False,False,1,1,True,True,148,148,46550,46550,28ffc1014c000100000fc000000011,28ffc1014c000100000fc000000011,73fd0000000000000000000000000000000000013c000000800003f000,73fd0000000000000000000000000000000000013c000000800003f000,True
fault_and_commit,84,True,2d0c3000a080007,False,False,1,1,True,True,166,166,43059,43059,37bbc0b5d6000100000fc000000011,37bbc0b5d6000100000fc000000011,3a4f00000000000000000000000000000000000140000000800003f000,3a4f00000000000000000000000000000000000140000000800003f000,True
fault_and_commit,85,True,302d7000a884050,False,False,1,1,True,True,184,184,40713,40713,380040a833000100000fc000000011,380040a833000100000fc000000011,725000000000000000000000000000000000000144000000800003f000,725000000000000000000000000000000000000144000000800003f000,True
fault_and_commit,86,True,3341f000b080099,False,False,1,1,True,True,203,203,20247,20247,1f99c09f09000100000fc000000011,1f99c09f09000100000fc000000011,aa7100000000000000000000000000000000000148000000800003f000,aa7100000000000000000000000000000000000148000000800003f000,True
fault_and_commit,87,True,21da7000b8840e2,False,False,1,1,True,True,221,221,26138,26138,0cc8804f17000100000fc000000011,0cc8804f17000100000fc000000011,e26e0000000000000000000000000000000000014c000000800003f000,e26e0000000000000000000000000000000000014c000000800003f000,True
fault_and_commit,88,True,248ab000c08012b,False,False,1,1,True,True,239,239,4191738,4191738,334340661a000100000fc000000011,334340661a000100000fc000000011,a4da00000000000000000000000000000000000150000000c00043f000,a4da00000000000000000000000000000000000150000000c00043f000,True
fault_and_commit,89,True,3afb7000c884174,False,False,1,1,True,True,1,1,4182766,4182766,1297fff5fa000100000fc010001511,1297fff5fa000100000fc010001511,ca2000000000000000000000000000000000000154000000c04063f000,ca2000000000000000000000000000000000000154000000c04063f000,True
