row_type,seed,family,method,index,numerator,denominator,value,metric,evidence
window,61830001,smooth,weighted_static,34,85,512,0.166015625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,35,97,512,0.189453125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,36,90,512,0.17578125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,37,96,512,0.1875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,38,105,512,0.205078125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,39,104,512,0.203125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,40,101,512,0.197265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,41,114,512,0.22265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,42,145,512,0.283203125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,43,129,512,0.251953125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,44,136,512,0.265625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,45,112,512,0.21875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,46,129,512,0.251953125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,47,125,512,0.244140625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,48,128,512,0.25,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,49,135,512,0.263671875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,50,148,512,0.2890625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,51,155,512,0.302734375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,52,168,512,0.328125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,53,170,512,0.33203125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,54,158,512,0.30859375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,55,175,512,0.341796875,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,56,173,512,0.337890625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,57,180,512,0.3515625,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,58,163,512,0.318359375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,59,164,512,0.3203125,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,60,192,512,0.375,window_ler,PROJECT_NATIVE_MATCHED
window,61830001,smooth,weighted_static,61,149,512,0.291015625,window_ler,PROJECT_NATIVE_MATCHED
