strategy,root_seed,checkpoint_epoch,selection_split,selection_score,trajectory_count,eligible_within_agent,selected_within_agent,selected_across_agents,test_or_formal_used,checkpoint_tensor_sha256,training_lineage_sha256,status
mf,910033,40,validation_only,0.27761254514602585,64,True,False,False,False,00b3b649437d335f7b8c9cac055c7f2b268adfe4e00557e19f6b1fa59397883b,f31246b013f1f729087a8ee85cea6e8d462aa37fa66a38609975ded48e7226d8,COMPLETE
mf,910033,80,validation_only,0.3604854406253551,64,True,False,False,False,167145d02ba24850b7d9b5728fa7eeddb26ed20536936d35315afe24fe688216,3ef56ca56711eb91f5ba14705abb56efbff128e32e9e4d74d78725a52d3043e7,COMPLETE
mf,910033,120,validation_only,0.3797635644151499,64,True,False,False,False,970eb7a7f4f9e53caf7046c4c5183b6443f919efd7b1a1f23b32a131d3d24b23,96219a734316f2444ca2a154cd8f373162e2011d52e0d2f41dc2aa1733a6257e,COMPLETE
mf,910033,160,validation_only,0.37968513331154174,64,True,False,False,False,df2b47a1d9dedaf8ce1c199b11b663b5d0310d62cfe7c78e2a253a76dfd75681,839519fbc21adce8406ea98e7fc6251dccaa3ab3ec69fed64f92738409a3698c,COMPLETE
mf,910033,200,validation_only,0.37572122190322366,64,True,False,False,False,65e84b70ee9e800196dc98200b602b069c7a4d8b598d7f05ee5977bd34ad8277,5646f7a2a608797a9db2d20b0dfe6a1edc093a0f266077e303d52b0a2a7b7fa3,COMPLETE
mf,910033,240,validation_only,0.37529042237031335,64,True,False,False,False,3db072e17ca305ef3e995b33400a111f21b45f856637aaf25a0347c5b18b6931,36b6811c9ff1802041f420e1a85c4813b3a33ff07fc32e05ffc66a991fafadf2,COMPLETE
mf,910033,280,validation_only,0.3824879661650932,64,True,False,False,False,b94ed610fb2b9691111991dcf814a6cd0f7b9b90e7552c4719e7c489eac7c33a,897ee9167bc13360d214e72bd7d84cda7a246bbdddf91b4f233a7fc7363257c9,COMPLETE
mf,910033,320,validation_only,0.3849980911652238,64,True,False,False,False,9ab85321d3b5fddf84cda198e37c3e4136c3455109d3fce34264cd1d474cf17c,62c00ec0c9cfc00dee62793c3c153ad2d44fd1be3cc6b68f14a87a18ad6f8cbf,COMPLETE
mf,910033,360,validation_only,0.38784715144845483,64,True,False,False,False,d1e578244111fb3948fbf1754aef70c312579698db37834bd39ac77b68d8dc89,acfb0f2484753984f011615a4588222d6a3fe109ec0591a0da2c68510de3fdb0,COMPLETE
mf,910033,400,validation_only,0.38622382226857804,64,True,False,False,False,05fd0056cc8c595b1abd0f8b1d9c0f0e2e5c9ea1e5a28a4f191d4d715664e610,ae59c5cf5baf40145a52f34ec90974e21ffbb06769b5d0ee4d3bcdc89ace26f6,COMPLETE
